name,exterior,price
★ Classic Knife | Safari Mesh,FN,999.0
★ Classic Knife | Scorched,FN,9999.0
★ Classic Knife | Slaughter,FN,1400.0
★ Classic Knife | Stained,FN,1035.0
★ Classic Knife | Urban Masked,FN,2395.0
★ Driver Gloves | Black Tie,FN,13200.0
★ Driver Gloves | Convoy,FN,7500.0
★ Driver Gloves | Crimson Weave,FN,17599.0
★ Driver Gloves | Diamondback,FN,12000.0
★ Driver Gloves | Imperial Plaid,FN,9199.0
★ Driver Gloves | King Snake,FN,27600.0
★ Driver Gloves | Lunar Weave,FN,25000.0
★ Driver Gloves | Overtake,FN,3850.0
★ Driver Gloves | Queen Jaguar,FN,4200.0
★ Driver Gloves | Racing Green,FN,2948.5
★ Driver Gloves | Rezan the Red,FN,6888.0
★ Driver Gloves | Snow Leopard,FN,18216.0
★ Falchion Knife | Autotronic,FN,1210.0
★ Falchion Knife | Black Laminate,FN,846.0
★ Falchion Knife | Blue Steel,FN,1999.0
★ Falchion Knife | Boreal Forest,FN,2843.69
★ Falchion Knife | Bright Water,FN,604.44
★ Falchion Knife | Case Hardened,FN,2799.0
★ Falchion Knife | Crimson Web,FN,19999.0
★ Falchion Knife | Damascus Steel,FN,792.0
★ Falchion Knife | Doppler,FN,2097.0
★ Falchion Knife | Fade,FN,1717.0
★ Falchion Knife | Forest DDPAT,FN,2382.77
★ Falchion Knife | Freehand,FN,689.0
★ Falchion Knife | Gamma Doppler,FN,1642.0
★ Falchion Knife | Lore,FN,1150.0
★ Falchion Knife | Marble Fade,FN,1233.25
★ Falchion Knife | Night,FN,2099.0
★ Falchion Knife | Rust Coat,WW,540.0
★ Falchion Knife | Safari Mesh,FN,1175.0
★ Falchion Knife | Scorched,FN,1000.0
★ Falchion Knife | Slaughter,FN,1800.0
★ Falchion Knife | Stained,FN,1099.0
★ Falchion Knife | Tiger Tooth,FN,1000.0
★ Falchion Knife | Ultraviolet,FN,1999.0
★ Falchion Knife | Urban Masked,FN,1666.0
★ Flip Knife | Autotronic,FN,1998.5
★ Flip Knife | Black Laminate,FN,1400.0
★ Flip Knife | Blue Steel,FN,2189.0
★ Flip Knife | Boreal Forest,FN,2557.05
★ Flip Knife | Bright Water,FN,900.0
★ Flip Knife | Case Hardened,FN,2500.0
★ Flip Knife | Crimson Web,FN,9666.0
★ Flip Knife | Damascus Steel,FN,900.0
★ Flip Knife | Doppler,FN,2140.0
★ Flip Knife | Fade,FN,2449.0
★ Flip Knife | Forest DDPAT,FN,2021.6
★ Flip Knife | Freehand,FN,880.0
★ Flip Knife | Gamma Doppler,FN,3038.0
★ Flip Knife | Lore,FN,2070.0
★ Flip Knife | Marble Fade,FN,1719.5
★ Flip Knife | Night,FN,3859.5
★ Flip Knife | Rust Coat,WW,721.0
★ Flip Knife | Safari Mesh,FN,1600.0
★ Flip Knife | Scorched,FN,2867.85
★ Flip Knife | Slaughter,FN,2100.0
★ Flip Knife | Stained,FN,1388.0
★ Flip Knife | Tiger Tooth,FN,1429.0
★ Flip Knife | Ultraviolet,FN,2400.0
★ Flip Knife | Urban Masked,MW,749.5
★ Gut Knife | Autotronic,FN,1699.0
★ Gut Knife | Black Laminate,FN,850.0
★ Gut Knife | Blue Steel,FN,1190.0
★ Gut Knife | Boreal Forest,FN,6594.13
★ Gut Knife | Bright Water,FN,490.0
★ Gut Knife | Case Hardened,FN,2184.27
★ Gut Knife | Crimson Web,FN,5700.512
★ Gut Knife | Damascus Steel,FN,506.99
★ Gut Knife | Doppler,FN,849.0
★ Gut Knife | Doppler,MW,1200.0
★ Gut Knife | Fade,FN,954.5
★ Gut Knife | Forest DDPAT,FN,1611.41
★ Gut Knife | Freehand,FN,548.5
★ Gut Knife | Gamma Doppler,FN,1098.5
★ Gut Knife | Lore,FN,1100.0
★ Gut Knife | Marble Fade,FN,789.0
★ Gut Knife | Night,MW,529.5
★ Gut Knife | Rust Coat,WW,650.0
★ Gut Knife | Safari Mesh,FN,2799.5
★ Gut Knife | Scorched,BS,637.1
★ Gut Knife | Scorched,FN,2786.12
★ Gut Knife | Slaughter,FN,977.5
★ Gut Knife | Stained,FN,999.0
★ Gut Knife | Tiger Tooth,FN,715.0
★ Gut Knife | Ultraviolet,FN,1775.0
★ Gut Knife | Urban Masked,FN,999.0
★ Hand Wraps | Arboreal,FN,2186.5
★ Hand Wraps | Badlands,FN,9999.0
★ Hand Wraps | CAUTION!,FN,7498.0
★ Hand Wraps | Cobalt Skulls,FN,11999.5
★ Hand Wraps | Constrictor,FN,2950.0
★ Hand Wraps | Desert Shamagh,FN,2500.0
★ Hand Wraps | Duct Tape,FN,2999.5
★ Hand Wraps | Giraffe,FN,3099.0
★ Hand Wraps | Giraffe,MW,648.0
★ Hand Wraps | Leather,FN,11800.0
★ Hand Wraps | Overprint,FN,4238.0
★ Hand Wraps | Slaughter,FN,12800.0
★ Hand Wraps | Spruce DDPAT,FN,11000.0
★ Huntsman Knife | Autotronic,FN,1450.0
★ Huntsman Knife | Black Laminate,FN,1235.0
★ Huntsman Knife | Blue Steel,FN,2200.0
★ Huntsman Knife | Boreal Forest,FN,2000.0
★ Huntsman Knife | Bright Water,FN,561.75
