name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
M249 | Magma,Winter Offensive Weapon Case,Mil-Spec,7.61,WW,BUFF,,False,Restricted,10.0,,战痕,,7.61,,
M4A1-S | Blood Tiger,CSGO Weapon Case 2,Mil-Spec,83.68,FN,BUFF,,False,Restricted,10.0,,略磨,,83.68,,
M4A1-S | Blood Tiger,CSGO Weapon Case 2,Mil-Spec,35.0,FT,YOUPIN,,False,Restricted,10.0,,略磨,,35.0,,
M4A1-S | Blood Tiger,CSGO Weapon Case 2,Mil-Spec,33.54,MW,BUFF,,False,Restricted,10.0,,略磨,,33.54,,
M4A1-S | Bright Water,Operation Bravo Case,Restricted,273.46,FT,BUFF,,False,Classified,10.0,,久经,,273.46,,
M4A1-S | Bright Water,Operation Bravo Case,Restricted,354.0,MW,C5,,False,Classified,10.0,,久经,,354.0,,
M4A1-S | Emphorosaur-S,Revolution Case,Restricted,3.94,BS,BUFF,,False,Classified,10.0,,战痕,,3.94,,
M4A1-S | Emphorosaur-S,Revolution Case,Restricted,26.13,FN,YOUPIN,,False,Classified,10.0,,战痕,,26.13,,
M4A1-S | Emphorosaur-S,Revolution Case,Restricted,4.32,FT,YOUPIN,,False,Classified,10.0,,战痕,,4.32,,
M4A1-S | Emphorosaur-S,Revolution Case,Restricted,7.9,MW,BUFF,,False,Classified,10.0,,战痕,,7.9,,
M4A1-S | Emphorosaur-S,Revolution Case,Restricted,5.38,WW,BUFF,,False,Classified,10.0,,战痕,,5.38,,
M4A4 | Evil Daimyo,Falchion Case,Restricted,23.49,BS,BUFF,,False,Classified,10.0,,久经,,23.49,,
M4A4 | Evil Daimyo,Falchion Case,Restricted,68.4,FN,BUFF,,False,Classified,10.0,,久经,,68.4,,
M4A4 | Evil Daimyo,Falchion Case,Restricted,21.0,FT,BUFF,,False,Classified,10.0,,久经,,21.0,,
M4A4 | Evil Daimyo,Falchion Case,Restricted,29.9,MW,BUFF,,False,Classified,10.0,,久经,,29.9,,
M4A4 | Evil Daimyo,Falchion Case,Restricted,24.05,WW,BUFF,,False,Classified,10.0,,久经,,24.05,,
M4A4 | X-Ray,ESports 2013 Winter Case,Covert,1234.5,FN,YOUPIN,,False,Gold,5.0,,久经,,1234.5,,
M4A4 | X-Ray,ESports 2013 Winter Case,Covert,567.2,FT,BUFF,,False,Gold,5.0,,久经,,567.2,,
M4A4 | X-Ray,ESports 2013 Winter Case,Covert,570.0,MW,YOUPIN,,False,Gold,5.0,,久经,,570.0,,
M4A4 | Zirka,Operation Bravo Case,Restricted,603.5,FN,YOUPIN,,False,Classified,10.0,,久经,,603.5,,
M4A4 | Zirka,Operation Bravo Case,Restricted,161.0,FT,YOUPIN,,False,Classified,10.0,,久经,,161.0,,
M4A4 | Zirka,Operation Bravo Case,Restricted,238.04,MW,YOUPIN,,False,Classified,10.0,,久经,,238.04,,
M4A4 | Zirka,Operation Bravo Case,Restricted,175.0,WW,BUFF,,False,Classified,10.0,,久经,,175.0,,
MAC-10 | Ensnared,Dreams & Nightmares Case,Mil-Spec,0.46,BS,YOUPIN,,False,Restricted,10.0,,战痕,,0.46,,
MAC-10 | Ensnared,Dreams & Nightmares Case,Mil-Spec,6.6,FN,BUFF,,False,Restricted,10.0,,战痕,,6.6,,
MAC-10 | Ensnared,Dreams & Nightmares Case,Mil-Spec,0.53,FT,YOUPIN,,False,Restricted,10.0,,战痕,,0.53,,
MAC-10 | Ensnared,Dreams & Nightmares Case,Mil-Spec,1.39,MW,YOUPIN,,False,Restricted,10.0,,战痕,,1.39,,
MAC-10 | Ensnared,Dreams & Nightmares Case,Mil-Spec,0.49,WW,BUFF,,False,Restricted,10.0,,战痕,,0.49,,
MAC-10 | Graven,Operation Bravo Case,Restricted,158.0,BS,YOUPIN,,False,Classified,10.0,,战痕,,158.0,,
MAC-10 | Graven,Operation Bravo Case,Restricted,519.5,FN,BUFF,,False,Classified,10.0,,战痕,,519.5,,
MAC-10 | Graven,Operation Bravo Case,Restricted,164.78,FT,C5,,False,Classified,10.0,,战痕,,164.78,,
MAC-10 | Graven,Operation Bravo Case,Restricted,196.49,MW,YOUPIN,,False,Classified,10.0,,战痕,,196.49,,
MAC-10 | Graven,Operation Bravo Case,Restricted,166.99,WW,YOUPIN,,False,Classified,10.0,,战痕,,166.99,,
MAC-10 | Sakkaku,Revolution Case,Restricted,6.79,FT,YOUPIN,,False,Classified,10.0,,久经,,6.79,,
MAG-7 | Foresight,Dreams & Nightmares Case,Mil-Spec,0.47,BS,YOUPIN,,False,Restricted,10.0,,战痕,,0.47,,
MAG-7 | Foresight,Dreams & Nightmares Case,Mil-Spec,3.09,FN,BUFF,,False,Restricted,10.0,,战痕,,3.09,,
MAG-7 | Foresight,Dreams & Nightmares Case,Mil-Spec,0.52,FT,YOUPIN,,False,Restricted,10.0,,战痕,,0.52,,
MAG-7 | Foresight,Dreams & Nightmares Case,Mil-Spec,1.12,MW,C5,,False,Restricted,10.0,,战痕,,1.12,,
MAG-7 | Foresight,Dreams & Nightmares Case,Mil-Spec,0.52,WW,BUFF,,False,Restricted,10.0,,战痕,,0.52,,
MAG-7 | Praetorian,Operation Wildfire Case,Restricted,76.9,FN,YOUPIN,,False,Classified,10.0,,久经,,76.9,,
MAG-7 | Praetorian,Operation Wildfire Case,Restricted,13.1,FT,YOUPIN,,False,Classified,10.0,,久经,,13.1,,
MAG-7 | Praetorian,Operation Wildfire Case,Restricted,17.5,MW,YOUPIN,,False,Classified,10.0,,久经,,17.5,,
MAG-7 | Praetorian,Operation Wildfire Case,Restricted,15.81,WW,C5,,False,Classified,10.0,,久经,,15.81,,
MAG-7 | Sonar,Glove Case,Mil-Spec,7.47,FN,BUFF,,False,Restricted,10.0,,破损,,7.47,,
MAG-7 | Sonar,Glove Case,Mil-Spec,3.22,FT,YOUPIN,,False,Restricted,10.0,,破损,,3.22,,
MAG-7 | Sonar,Glove Case,Mil-Spec,3.41,MW,YOUPIN,,False,Restricted,10.0,,破损,,3.41,,
